Fiscal Year,2015,2016,2018,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Mar 2018,31 Mar 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,18 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.07,0.06,8.84,10.09,10.52
Total Revenue,0.07,0.06,8.84,10.09,10.52
"Selling/General/Admin. Expenses, Total",0.01,0.01,4.39,8.46,16.04
Depreciation/Amortisation,0.09,0.10,0,0,0
Unusual Expense (Income),0.00,0,6.32,0,14.79
"Other Operating Expenses, Total",1.99,1.75,-0.39,-7.84,-0.42
Total Operating Expense,2.09,1.85,15.07,6.94,37.34
Operating Income,-2.02,-1.79,-6.22,3.16,-26.82
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-1.09,-9.15
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.02,-1.79,-6.22,2.07,-35.97
Provision for Income Taxes,0.00,0.00,0.21,0.06,-0.00
Net Income After Taxes,-2.02,-1.79,-6.43,2.01,-35.97
Net Income Before Extra. Items,-2.02,-1.79,-6.43,2.01,-35.97
Net Income,-2.02,-1.79,-6.43,2.01,-35.97
Income Available to Com Excl ExtraOrd,-2.02,-1.79,-6.43,2.01,-35.97
Income Available to Com Incl ExtraOrd,-2.02,-1.79,-6.43,2.01,-35.97
Diluted Net Income,-2.02,-1.79,-6.43,2.01,-35.97
Diluted Weighted Average Shares,43.71,43.71,316.58,417.44,502.17
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.04,-0.02,0.00,-0.07
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,-0.05,-0.04,-0.01,0.00,-0.05
