Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PRESS,ARS,ARS,PRESS
Net Income/Starting Line,-10.77,-10.42,-5.92,-1.66,-0.72
Depreciation/Depletion,0.06,0.09,0.08,0,0.00
Non-Cash Items,3.90,2.45,-5.95,-3.87,0.04
Cash Taxes Paid,-0.34,-0.42,-0.55,0.00,0
Changes in Working Capital,0.70,2.68,4.36,2.90,0.10
Cash from Operating Activities,-5.51,-4.36,-6.24,-2.63,-0.59
Capital Expenditures,-1.78,-1.97,-1.75,0.00,0
"Other Investing Cash Flow Items, Total",0.71,0.00,0.39,-0.39,0.00
Cash from Investing Activities,-1.07,-1.97,-1.37,-0.39,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.84,0.00,14.72,0.00,0
Cash from Financing Activities,7.24,3.39,8.30,1.52,0.58
Foreign Exchange Effects,-0.19,0.04,-0.04,0.01,-0.00
Net Change in Cash,0.47,-2.91,0.65,-1.50,-0.01
