Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,PROSPECTUS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,1.03,2.45,11.50,6.03,10.67
"Accounts Receivable - Trade, Net",0.70,0.29,0.45,0.22,0.20
"Total Receivables, Net",1.08,0.65,0.99,0.40,0.40
Prepaid Expenses,0,0,0,0.39,0.27
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,2.53,4.08,13.26,7.72,12.95
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.68,0.50,0.35,1.34,1.41
"Goodwill, Net",0,0,0,0,0.63
"Intangibles, Net",0.51,0.62,0.58,0.57,3.78
Long Term Investments,0,0,0,0,0
Total Assets,3.73,5.21,14.19,9.62,18.76
Accounts Payable,0.22,0.81,0.31,0.52,0.14
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.83,10.19,1.22,0.76,1.01
Total Current Liabilities,4.05,11.00,1.53,1.42,2.29
Total Long Term Debt,5.85,6.32,0.00,0.40,4.14
Total Debt,5.85,6.32,0.00,0.54,5.28
Deferred Income Tax,0,0,0,0,0.53
"Other Liabilities, Total",10.55,11.73,0.10,0.04,3.52
Total Liabilities,20.45,29.05,1.63,1.86,10.48
"Common Stock, Total",10.24,10.24,53.80,53.80,58.33
Retained Earnings (Accumulated Deficit),-26.96,-34.10,-41.24,-46.05,-50.19
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.01,0.01,0.00,0.02,0.13
Total Equity,-16.72,-23.85,12.56,7.77,8.27
Total Liabilities & Shareholders' Equity,3.73,5.21,14.19,9.62,18.76
Total Common Shares Outstanding,242.50,242.50,242.50,242.50,264.05
"Tangible Book Value per Share, Common Eq",-0.07,-0.10,0.05,0.03,0.01
