Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-6.87,-7.21,-6.25,-4.81,-4.68
Depreciation/Depletion,0.49,0.48,0.36,0.59,0.75
Non-Cash Items,2.83,3.15,1.10,0.07,2.20
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,-0.40,-0.16,0.07,-0.46,-0.94
Cash from Operating Activities,-3.93,-3.72,-4.69,-4.56,-2.43
Capital Expenditures,-0.57,-0.44,-0.21,-0.69,-0.45
"Other Investing Cash Flow Items, Total",0.11,0.00,0.00,0.02,-0.09
Cash from Investing Activities,-0.46,-0.44,-0.21,-0.67,-0.54
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",-0.00,-0.00,-0.01,0.00,3.13
Cash from Financing Activities,2.02,5.56,13.94,-0.26,7.50
Foreign Exchange Effects,-0.01,0.02,0.00,0.02,0.11
Net Change in Cash,-2.38,1.42,9.04,-5.47,4.64
