Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,213.77,230.01,165.20,145.41,1090.51
Short Term Investments,489.41,216.97,193.71,107.66,1792.69
Cash and Short Term Investments,703.18,446.98,358.91,253.07,2883.19
"Accounts Receivable - Trade, Net",326.48,393.43,877.72,562.77,771.10
"Total Receivables, Net",346.58,460.51,877.72,837.05,805.07
Prepaid Expenses,8.54,13.50,0,35.25,34.34
"Other Current Assets, Total",14.76,14.59,105.35,23.84,34.33
Total Current Assets,1336.74,1251.36,1847.83,1779.10,4287.65
"Property/Plant/Equipment, Total - Gross",1908.58,2355.88,0.00,3549.72,4472.36
"Accumulated Depreciation, Total",-751.81,-857.40,0,-1069.69,-1260.68
"Property/Plant/Equipment, Total - Net",1156.77,1498.49,2104.76,2480.03,3211.69
"Goodwill, Net",0,0,0,0,980.69
"Intangibles, Net",22.81,22.81,1019.64,1015.97,31.63
Long Term Investments,86.29,162.39,178.82,176.15,174.72
Total Assets,2649.14,2990.18,5297.35,5688.21,8705.96
Accounts Payable,176.49,233.49,0,280.86,357.06
Accrued Expenses,51.43,56.55,0,79.16,273.21
Notes Payable/Short Term Debt,317.80,314.38,0.00,905.34,308.18
"Other Current liabilities, Total",145.20,191.05,68.85,190.45,1186.62
Total Current Liabilities,690.91,795.74,1451.57,1591.79,2132.52
Total Long Term Debt,81.64,61.75,1330.36,1379.37,236.01
Total Debt,399.43,376.39,2212.93,2420.69,551.65
Deferred Income Tax,50.76,68.26,116.31,159.71,141.99
"Other Liabilities, Total",0,0.00,0.72,3.19,4.56
Total Liabilities,831.13,934.95,2914.30,3151.25,2539.95
"Common Stock, Total",627.41,636.64,787.71,788.33,1675.70
Retained Earnings (Accumulated Deficit),1174.20,1373.32,1604.66,1776.97,3154.71
Treasury Stock - Common,-9.74,-9.74,-9.33,-1.78,-1.52
Unrealised Gain (Loss),-4.31,1.30,0,2.08,0.00
"Other Equity, Total",25.68,53.70,0.00,-28.65,1337.12
Total Equity,1818.01,2055.23,2383.05,2536.96,6166.02
Total Liabilities & Shareholders' Equity,2649.14,2990.18,5297.35,5688.21,8705.96
Total Common Shares Outstanding,7515.96,7524.89,3834.51,7679.52,8124.57
"Tangible Book Value per Share, Common Eq",0.24,0.27,0.36,0.20,0.63
