Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-17.77,9.88,1.25,0.18,-3.47
Depreciation/Depletion,1.05,0.28,0.50,1.08,1.63
Non-Cash Items,11.39,-10.63,-1.92,0.44,3.91
Cash Taxes Paid,0.00,0,0,0,0
Changes in Working Capital,-1.73,-4.61,0.46,2.14,1.30
Cash from Operating Activities,-6.86,-5.09,0.29,3.84,3.36
Capital Expenditures,-0.02,0,-0.20,-10.49,-0.83
"Other Investing Cash Flow Items, Total",5.64,-6.23,-1.29,-0.49,0.10
Cash from Investing Activities,5.63,-6.23,-1.48,-10.99,-0.73
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,12.21,5.43,0.00,0
Cash from Financing Activities,-4.69,9.52,2.74,4.73,5.46
Foreign Exchange Effects,0.07,0.00,0,0.08,0.00
Net Change in Cash,-5.86,-1.80,1.54,-2.33,8.08
