Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS
Net Income/Starting Line,85.73,130.04,96.54
Depreciation/Depletion,0,0,0
Non-Cash Items,-19.61,-21.50,12.70
Cash Taxes Paid,6.52,3.09,7.71
Changes in Working Capital,9.46,-21.43,-20.66
Cash from Operating Activities,75.58,87.11,88.58
Capital Expenditures,0,0,0
"Other Investing Cash Flow Items, Total",-1121.08,-355.37,-46.26
Cash from Investing Activities,-1121.08,-355.37,-46.26
Total Cash Dividends Paid,-39.91,-79.52,-96.20
"Issuance (Retirement) of Stock, Net",982.21,147.56,0
Cash from Financing Activities,1090.49,289.76,-77.98
Foreign Exchange Effects,0,0,0
Net Change in Cash,44.98,21.50,-35.66
