Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,11200.70,11288.70,11749.30,11192.30,10268.50
Total Revenue,11200.70,11288.70,11749.30,11192.30,10268.50
"Selling/General/Admin. Expenses, Total",3104.70,3247.60,3338.10,3287.10,3134.60
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-6.20,-0.50,289.40,10.20,-184.50
"Other Operating Expenses, Total",-171.80,-183.40,-194.90,-189.80,-148.20
Total Operating Expense,10741.90,10919.80,11532.60,10766.70,9880.40
Operating Income,458.80,368.90,216.70,425.60,388.10
"Interest Inc.(Exp.),Net-Non-Op., Total",100.70,120.20,-48.10,-28.00,-52.80
"Other, Net",-4.30,-4.30,-4.50,-3.90,-5.00
Net Income Before Taxes,555.20,484.80,164.10,393.70,330.30
Provision for Income Taxes,85.10,93.00,96.60,68.70,73.80
Net Income After Taxes,470.10,391.80,67.50,325.00,256.50
Net Income Before Extra. Items,469.00,402.40,84.80,323.80,271.00
Net Income,469.00,402.40,84.80,323.80,271.00
Income Available to Com Excl ExtraOrd,469.00,402.40,84.80,323.80,271.00
Income Available to Com Incl ExtraOrd,469.00,402.40,84.80,323.80,271.00
Diluted Net Income,469.00,402.40,84.80,323.80,271.00
Diluted Weighted Average Shares,1352.20,1353.00,1353.40,1353.40,1353.30
Diluted EPS Excluding ExtraOrd Items,0.35,0.30,0.06,0.24,0.20
DPS - Common Stock Primary Issue,0.21,0.21,0.21,0.21,0.17
Diluted Normalised EPS,0.35,0.30,0.15,0.25,0.15
