Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,4.20,4.10,6.39,5.22,8.70
Depreciation/Depletion,1.67,1.70,1.66,2.28,2.14
Non-Cash Items,3.81,0.83,-4.23,2.46,-0.50
Cash Taxes Paid,0.10,0.14,0.06,0.20,0.14
Changes in Working Capital,4.84,-10.48,-0.47,0.10,-4.23
Cash from Operating Activities,14.53,-3.86,3.35,10.07,6.11
Capital Expenditures,-1.45,-2.28,-2.14,-1.74,-4.07
"Other Investing Cash Flow Items, Total",-1.73,-2.05,2.09,-2.11,-1.97
Cash from Investing Activities,-3.18,-4.33,-0.05,-3.86,-6.04
Total Cash Dividends Paid,0,0,0,-0.60,-0.99
"Issuance (Retirement) of Stock, Net",0.02,0.10,0.02,0.00,0
Cash from Financing Activities,-10.92,8.54,-3.73,-3.05,6.23
Foreign Exchange Effects,0.27,-0.04,-0.26,0.22,-0.95
Net Change in Cash,0.70,0.32,-0.69,3.38,5.35
