Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,30.98,23.19,24.38,35.43,31.00
Total Revenue,30.98,23.19,24.38,35.43,31.00
"Selling/General/Admin. Expenses, Total",0.94,1.46,1.27,2.10,3.10
Depreciation/Amortisation,0.02,0.02,0.03,0.03,0.02
Unusual Expense (Income),-6.64,-5.09,-6.70,-5.87,-7.86
"Other Operating Expenses, Total",-0.97,0.57,1.00,-0.36,0.45
Total Operating Expense,25.02,18.45,17.61,29.25,21.29
Operating Income,5.96,4.74,6.77,6.19,9.70
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.63,-0.57,-0.32,-1.05,-1.06
"Other, Net",0,0,0,0.39,0.37
Net Income Before Taxes,4.34,4.17,6.44,5.53,9.01
Provision for Income Taxes,0.13,0.08,0.05,0.30,0.32
Net Income After Taxes,4.20,4.10,6.39,5.22,8.70
Net Income Before Extra. Items,4.24,4.10,6.39,5.21,8.70
Net Income,4.24,4.10,6.39,5.21,8.70
Income Available to Com Excl ExtraOrd,4.24,4.10,6.39,5.21,8.70
Income Available to Com Incl ExtraOrd,4.24,4.10,6.39,5.21,8.70
Diluted Net Income,4.24,4.10,6.39,5.21,8.70
Diluted Weighted Average Shares,127.27,127.27,127.27,125.00,147.75
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.05,0.04,0.06
DPS - Common Stock Primary Issue,0,0,0,0.01,0.01
Diluted Normalised EPS,-0.00,0.01,0.02,0.01,0.01
