Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3521.70,5588.50,2331.80,350.60,-2483.40
Depreciation/Depletion,3.10,3.00,4.20,13.60,15.30
Non-Cash Items,-2554.30,-4680.90,-1242.50,819.80,3436.20
Cash Taxes Paid,140.60,137.20,172.10,115.50,267.90
Changes in Working Capital,125.70,-110.40,-489.10,-1.90,13.00
Cash from Operating Activities,1096.20,800.20,604.40,1182.10,981.10
Capital Expenditures,-239.50,-213.70,-150.40,-143.70,-4628.20
"Other Investing Cash Flow Items, Total",-5.60,-733.20,-905.50,-514.30,3212.30
Cash from Investing Activities,-245.10,-946.90,-1055.90,-658.00,-1415.90
Total Cash Dividends Paid,-443.80,-443.40,-466.60,-510.10,-509.60
"Issuance (Retirement) of Stock, Net",0,0,-131.50,0.00,0
Cash from Financing Activities,-442.10,-193.20,237.00,-490.80,943.00
Foreign Exchange Effects,-76.50,58.10,-33.20,15.80,64.20
Net Change in Cash,332.50,-281.80,-247.70,49.10,572.40
