Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Net Income/Starting Line,5812.00,8518.00,4508.00,4735.00,-682.00
Depreciation/Depletion,945.00,981.00,2184.00,2406.00,2427.00
Non-Cash Items,-2439.00,-4866.00,-119.00,-480.00,3488.00
Cash Taxes Paid,704.00,756.00,902.00,964.00,804.00
Changes in Working Capital,-351.00,-335.00,-1416.00,-1796.00,42.00
Cash from Operating Activities,3967.00,4298.00,5157.00,4865.00,5275.00
Capital Expenditures,-1194.00,-1406.00,-1591.00,-1562.00,-862.00
"Other Investing Cash Flow Items, Total",-869.00,-2569.00,-3067.00,862.00,-272.00
Cash from Investing Activities,-2063.00,-3975.00,-4658.00,-700.00,-1134.00
Total Cash Dividends Paid,-322.00,-338.00,-366.00,-400.00,-392.00
"Issuance (Retirement) of Stock, Net",1.00,-85.00,-95.00,-325.00,-547.00
Cash from Financing Activities,-1068.00,60.00,-1366.00,-2040.00,-2319.00
Foreign Exchange Effects,-78.00,87.00,-181.00,79.00,174.00
Net Change in Cash,758.00,470.00,-1048.00,2204.00,1996.00
