Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,Interim Report,ARS,ARS,ARS
Revenue,37051.00,38748.00,42527.00,40922.00,32647.00
Total Revenue,37051.00,38748.00,42527.00,40922.00,32647.00
"Selling/General/Admin. Expenses, Total",6030.00,6485.00,6807.00,6798.00,6580.00
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,-331.00
"Other Operating Expenses, Total",-450.00,-930.00,327.00,-2170.00,-746.00
Total Operating Expense,31239.00,30230.00,38019.00,36187.00,33329.00
Operating Income,5812.00,8518.00,4508.00,4735.00,-682.00
"Interest Inc.(Exp.),Net-Non-Op., Total",623.00,1104.00,1024.00,835.00,93.00
"Other, Net",-89.00,-101.00,-88.00,-139.00,-89.00
Net Income Before Taxes,6346.00,9521.00,5444.00,5431.00,-678.00
Provision for Income Taxes,659.00,822.00,958.00,957.00,486.00
Net Income After Taxes,5687.00,8699.00,4486.00,4474.00,-1164.00
Net Income Before Extra. Items,2503.00,3943.00,1722.00,2838.00,-394.00
Net Income,2503.00,3943.00,1722.00,2838.00,-394.00
Income Available to Com Excl ExtraOrd,2503.00,3943.00,1722.00,2838.00,-394.00
Income Available to Com Incl ExtraOrd,2503.00,3943.00,1722.00,2838.00,-394.00
Diluted Net Income,2503.00,3943.00,1722.00,2838.00,-394.00
Diluted Weighted Average Shares,375.00,376.96,376.00,375.00,368.00
Diluted EPS Excluding ExtraOrd Items,6.67,10.46,4.58,7.57,-1.07
DPS - Common Stock Primary Issue,1.50,1.60,1.70,1.72,1.72
Diluted Normalised EPS,6.66,10.06,5.19,4.23,-2.94
