Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4439.28,5486.91,3557.00,2287.00,2419.00
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,-12321.36,-11671.78,-4450.00,-10589.00,-4843.00
Cash Taxes Paid,1312.99,1264.62,477.00,717.00,555.00
Changes in Working Capital,10924.07,8423.86,3638.00,2540.00,4390.00
Cash from Operating Activities,3041.99,2238.99,2745.00,-5762.00,1966.00
Capital Expenditures,-480.97,-185.20,-134.00,-64.00,-59.00
"Other Investing Cash Flow Items, Total",-277.80,1312.99,-442.00,-260.00,-1136.00
Cash from Investing Activities,-758.77,1127.79,-576.00,-324.00,-1195.00
Total Cash Dividends Paid,-1751.11,-1601.85,-1662.00,-1634.00,-814.00
"Issuance (Retirement) of Stock, Net",17.97,29.02,23.00,22.00,13.00
Cash from Financing Activities,-512.76,-2352.32,-659.00,-2594.00,212.00
Foreign Exchange Effects,1384.86,-150.65,-529.00,203.00,70.00
Net Change in Cash,3155.32,863.81,981.00,-8477.00,1053.00
