Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.31,0.36,26.66,28.38,18.89
Depreciation/Depletion,1.02,1.88,5.41,6.14,10.74
Non-Cash Items,0.00,0.12,3.74,6.41,21.57
Cash Taxes Paid,0.05,0.11,-0.05,0.02,0.05
Changes in Working Capital,-8.06,-0.14,-5.36,6.36,-4.12
Cash from Operating Activities,-6.73,2.89,33.53,50.27,49.91
Capital Expenditures,-0.39,-9.33,-38.07,-57.64,-26.24
"Other Investing Cash Flow Items, Total",0.20,3.72,0.97,2.53,0.12
Cash from Investing Activities,-0.20,-5.61,-37.10,-55.11,-26.12
Total Cash Dividends Paid,0,0.00,-3.07,-6.47,-16.14
"Issuance (Retirement) of Stock, Net",3.69,0,0,3.19,0.00
Cash from Financing Activities,5.23,-0.96,-11.74,4.27,-25.76
Foreign Exchange Effects,-0.09,-0.16,-0.23,-0.11,-0.32
Net Change in Cash,-1.78,-3.83,-15.54,-0.68,-2.30
