Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.51,3.87,-4.96,-3.83,-1.10
Depreciation/Depletion,0.05,0.13,0.16,0.20,0.12
Non-Cash Items,0.04,0.08,2.85,1.46,-0.52
Cash Taxes Paid,-0.12,0.29,0.48,-0.38,0.02
Changes in Working Capital,-1.14,-3.18,-1.55,0.74,1.01
Cash from Operating Activities,0.46,0.91,-3.51,-1.42,-0.49
Capital Expenditures,-0.16,-0.10,-0.07,-0.02,-0.01
"Other Investing Cash Flow Items, Total",0.11,-1.47,0.00,0.00,1.48
Cash from Investing Activities,-0.05,-1.56,-0.07,-0.02,1.48
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.08,0.62,3.75,0.51,-0.25
Foreign Exchange Effects,-0.01,-0.02,0.01,0.00,0.00
Net Change in Cash,0.32,-0.06,0.18,-0.93,0.74
