Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,12.87,21.51,16.31,1.00,1.47
Total Revenue,12.87,21.51,16.31,1.00,1.47
"Selling/General/Admin. Expenses, Total",0.59,1.65,6.52,2.28,2.02
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,0.02,0.24,0.08
"Other Operating Expenses, Total",-0.08,-0.13,-0.07,1.62,-0.80
Total Operating Expense,11.32,17.56,21.16,4.75,2.51
Operating Income,1.55,3.95,-4.85,-3.74,-1.04
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.04,-0.08,-0.07,-0.08,-0.06
"Other, Net",0,0,-0.03,-0.01,0
Net Income Before Taxes,1.51,3.87,-4.96,-3.83,-1.10
Provision for Income Taxes,0.14,0.50,0.22,-0.16,-0.19
Net Income After Taxes,1.37,3.37,-5.18,-3.68,-0.91
Net Income Before Extra. Items,1.37,3.37,-5.28,-3.58,-0.84
Net Income,1.37,3.37,-5.28,-3.58,-0.84
Income Available to Com Excl ExtraOrd,1.37,3.37,-5.28,-3.58,-0.84
Income Available to Com Incl ExtraOrd,1.37,3.37,-5.28,-3.58,-0.84
Diluted Net Income,1.37,3.37,-5.28,-3.58,-0.84
Diluted Weighted Average Shares,102.61,117.31,109.72,121.11,121.11
Diluted EPS Excluding ExtraOrd Items,0.01,0.03,-0.05,-0.03,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.01,0.03,-0.05,-0.03,-0.01
