Fiscal Year,2016,2017,2018,2019
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,51.20,54.90,59.51,51.57
Total Revenue,51.20,54.90,59.51,51.57
"Selling/General/Admin. Expenses, Total",1.67,1.70,1.97,1.04
Depreciation/Amortisation,0,0,0,0
Unusual Expense (Income),0,0,0,0
"Other Operating Expenses, Total",0.00,0.00,-2.42,0
Total Operating Expense,11.52,14.53,16.07,12.90
Operating Income,39.68,40.37,43.44,38.67
"Interest Inc.(Exp.),Net-Non-Op., Total",97.78,-15.43,-15.44,143.01
"Other, Net",0,0,0,0.02
Net Income Before Taxes,137.46,24.94,28.00,181.70
Provision for Income Taxes,23.87,0.10,0.10,39.52
Net Income After Taxes,113.58,24.84,27.90,142.18
Net Income Before Extra. Items,113.58,24.84,27.90,142.18
Net Income,113.58,24.84,27.90,142.18
Income Available to Com Excl ExtraOrd,113.58,24.84,27.90,142.18
Income Available to Com Incl ExtraOrd,113.58,24.84,27.90,142.18
Diluted Net Income,113.58,24.84,27.90,142.18
Diluted Weighted Average Shares,867.89,867.89,867.89,872.75
Diluted EPS Excluding ExtraOrd Items,0.13,0.03,0.03,0.16
DPS - Common Stock Primary Issue,0,0,0,0.03
Diluted Normalised EPS,0.13,0.03,0.03,0.16
