Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,Yuho,Yuho,Yuho,Yuho,Yuho
Revenue,32187.21,38513.05,41193.34,41231.43,41438.02
Total Revenue,32187.21,38513.05,41193.34,41231.43,41438.02
"Selling/General/Admin. Expenses, Total",5804.52,6232.72,7051.98,6705.46,6325.91
Depreciation/Amortisation,327.69,336.41,346.56,389.02,483.76
Unusual Expense (Income),576.65,142.21,51.45,787.62,254.91
"Other Operating Expenses, Total",0,0.00,0,0.00,0.00
Total Operating Expense,27810.62,29481.21,31688.71,32673.24,31444.71
Operating Income,4376.58,9031.84,9504.62,8558.19,9993.31
"Interest Inc.(Exp.),Net-Non-Op., Total",-57.78,-349.82,258.41,122.81,59.64
"Other, Net",83.18,42.33,113.38,63.63,87.59
Net Income Before Taxes,4301.76,8456.63,9874.07,8696.36,9884.30
Provision for Income Taxes,1451.44,2912.14,3103.99,2802.44,2948.84
Net Income After Taxes,2850.32,5544.49,6770.08,5893.93,6935.46
Net Income Before Extra. Items,2850.32,5544.49,6770.08,5893.93,6935.46
Net Income,2850.32,5544.49,6770.08,5893.93,6935.46
Income Available to Com Excl ExtraOrd,2850.32,5544.49,6770.08,5893.93,6935.46
Income Available to Com Incl ExtraOrd,2850.32,5544.49,6770.08,5893.93,6935.46
Diluted Net Income,2850.32,5544.49,6770.08,5893.93,6935.46
Diluted Weighted Average Shares,12.35,12.36,12.36,12.33,12.33
Diluted EPS Excluding ExtraOrd Items,230.78,448.47,547.92,477.90,562.35
DPS - Common Stock Primary Issue,40.00,44.00,48.00,52.00,64.00
Diluted Normalised EPS,276.41,471.89,552.34,528.17,593.60
