Fiscal Year,2018,2020
Period Ended,31 Dec 2018,31 Dec 2020
Period Length,12 Months,12 Months
Source,PROSPECTUS,ARS
Revenue,2.86,20.96
Total Revenue,2.86,20.96
"Selling/General/Admin. Expenses, Total",0.22,1.58
Depreciation/Amortisation,0,0
Unusual Expense (Income),0,0
"Other Operating Expenses, Total",2.43,3.23
Total Operating Expense,2.73,5.40
Operating Income,0.14,15.57
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.92,13.53
"Other, Net",0,0
Net Income Before Taxes,-1.78,29.10
Provision for Income Taxes,1.51,5.74
Net Income After Taxes,-3.29,23.36
Net Income Before Extra. Items,-3.29,23.36
Net Income,-3.29,23.36
Income Available to Com Excl ExtraOrd,-3.29,23.36
Income Available to Com Incl ExtraOrd,-3.29,23.36
Diluted Net Income,-3.29,23.36
Diluted Weighted Average Shares,332.22,334.86
Diluted EPS Excluding ExtraOrd Items,-0.01,0.07
DPS - Common Stock Primary Issue,0,0.02
Diluted Normalised EPS,-0.01,0.07
