Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,31.99,34.94,39.90,70.28
Depreciation/Depletion,9.45,13.24,13.45,18.06
Non-Cash Items,3.25,1.15,2.74,7.70
Cash Taxes Paid,3.25,4.33,7.08,10.21
Changes in Working Capital,-10.97,-20.68,-4.73,-38.22
Cash from Operating Activities,34.59,29.62,52.49,59.02
Capital Expenditures,-13.53,-19.74,-47.64,-80.68
"Other Investing Cash Flow Items, Total",-1.96,-14.87,2.35,0.18
Cash from Investing Activities,-15.49,-34.60,-45.29,-80.50
Total Cash Dividends Paid,-3.62,-24.96,-9.53,-9.63
"Issuance (Retirement) of Stock, Net",0.73,0.69,0.00,206.46
Cash from Financing Activities,-9.64,9.03,-7.23,222.30
Foreign Exchange Effects,-1.07,0.07,-0.46,1.10
Net Change in Cash,8.38,4.12,-0.50,201.91
