Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,103.60,122.84,142.91,218.34
Total Revenue,103.60,122.84,142.91,218.34
"Selling/General/Admin. Expenses, Total",26.04,30.31,37.90,51.36
Depreciation/Amortisation,0,0,0,0
Unusual Expense (Income),0,0,0,-1.19
"Other Operating Expenses, Total",-1.03,-0.65,-1.04,-2.99
Total Operating Expense,71.62,87.05,102.98,146.77
Operating Income,31.99,35.79,39.93,71.56
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,-0.43,-0.00,0.00
"Other, Net",0.00,-0.42,-0.04,-1.29
Net Income Before Taxes,31.99,34.94,39.90,70.28
Provision for Income Taxes,5.05,5.63,5.35,12.21
Net Income After Taxes,26.93,29.31,34.54,58.06
Net Income Before Extra. Items,26.93,29.30,35.76,57.62
Net Income,26.93,29.30,35.76,57.62
Income Available to Com Excl ExtraOrd,26.93,29.30,35.76,57.62
Income Available to Com Incl ExtraOrd,26.93,29.30,35.76,57.62
Diluted Net Income,26.93,29.17,35.76,57.62
Diluted Weighted Average Shares,527.50,527.50,527.50,547.29
Diluted EPS Excluding ExtraOrd Items,0.05,0.06,0.07,0.11
DPS - Common Stock Primary Issue,0,0,0,0
Diluted Normalised EPS,0.05,0.06,0.07,0.10
