Fiscal Year,2017,2018,2019,2020
Period Ended,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Cash,0.77,2.97,8.28,67.07
Short Term Investments,1.93,1.98,27.08,82.79
Cash and Short Term Investments,2.70,4.95,35.37,149.87
"Accounts Receivable - Trade, Net",1.37,6.27,33.85,25.47
"Total Receivables, Net",10.63,15.41,37.10,27.77
Prepaid Expenses,1.14,1.64,1.57,1.52
"Other Current Assets, Total",0.00,0.00,17.22,0
Total Current Assets,43.45,36.05,104.69,188.00
"Property/Plant/Equipment, Total - Gross",217.29,219.14,198.19,215.12
"Accumulated Depreciation, Total",-125.25,-141.01,-141.37,-151.92
"Property/Plant/Equipment, Total - Net",92.04,78.13,56.82,63.64
"Goodwill, Net",0,0,0,0
"Intangibles, Net",0,0,0,0
Long Term Investments,0.35,0.24,0.08,0.04
Total Assets,135.84,114.41,189.54,255.14
Accounts Payable,33.59,30.73,19.46,9.32
Accrued Expenses,0.70,0.60,0.91,0
Notes Payable/Short Term Debt,1.24,1.37,0.20,0.00
"Other Current liabilities, Total",5.07,3.47,2.04,11.08
Total Current Liabilities,40.89,36.86,23.82,23.71
Total Long Term Debt,0.97,1.64,1.56,3.92
Total Debt,2.51,3.70,2.96,7.23
Deferred Income Tax,0,0,0,0
"Other Liabilities, Total",0,0,0,0
Total Liabilities,41.86,38.50,25.38,27.63
"Common Stock, Total",0.00,0.00,0.00,218.15
Retained Earnings (Accumulated Deficit),93.24,75.18,163.42,8.63
Treasury Stock - Common,0,0,0,0
Unrealised Gain (Loss),0,0,0,0
"Other Equity, Total",0,0,0,0
Total Equity,93.98,75.91,164.16,227.51
Total Liabilities & Shareholders' Equity,135.84,114.41,189.54,255.14
Total Common Shares Outstanding,430.00,430.00,430.00,489.00
"Tangible Book Value per Share, Common Eq",0.22,0.17,0.38,0.46
