Fiscal Year,2017,2018,2019,2020
Period Ended,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,63.96,98.07,189.14,254.25
Total Revenue,63.96,98.07,189.14,254.25
"Selling/General/Admin. Expenses, Total",3.44,2.99,3.31,22.25
Depreciation/Amortisation,0,0,0,0
Unusual Expense (Income),0.00,0.00,-0.10,-0.13
"Other Operating Expenses, Total",0.15,-0.83,-1.76,-0.40
Total Operating Expense,91.95,114.96,128.35,166.94
Operating Income,-27.99,-16.89,60.80,87.31
"Interest Inc.(Exp.),Net-Non-Op., Total",-7.26,-0.32,-0.41,-0.34
"Other, Net",0,0,0,0
Net Income Before Taxes,-35.25,-17.21,60.39,86.97
Provision for Income Taxes,0.02,0.02,-27.86,24.88
Net Income After Taxes,-35.27,-17.23,88.25,62.09
Net Income Before Extra. Items,-35.27,-17.23,88.25,62.09
Net Income,-35.27,-17.23,88.25,62.09
Income Available to Com Excl ExtraOrd,-35.27,-17.23,88.25,62.09
Income Available to Com Incl ExtraOrd,-35.27,-17.23,88.25,62.09
Diluted Net Income,-35.27,-17.23,88.25,62.09
Diluted Weighted Average Shares,430.00,430.00,430.00,486.38
Diluted EPS Excluding ExtraOrd Items,-0.08,-0.04,0.21,0.13
DPS - Common Stock Primary Issue,0,0,0,0.02
Diluted Normalised EPS,-0.08,-0.04,0.21,0.14
