Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,4.51,2.62,4.05,1.83,5.22
Depreciation/Depletion,0.93,1.09,1.27,2.88,4.12
Non-Cash Items,0.51,0.29,0.05,0.35,0.61
Cash Taxes Paid,0.22,0.20,0.43,0.86,0.73
Changes in Working Capital,3.18,0.16,-0.54,4.86,-8.19
Cash from Operating Activities,9.13,4.16,4.84,9.91,1.76
Capital Expenditures,-0.14,-0.47,-1.35,-20.51,-2.72
"Other Investing Cash Flow Items, Total",-6.17,-0.95,4.81,0,0
Cash from Investing Activities,-6.31,-1.42,3.46,-20.51,-2.72
Total Cash Dividends Paid,0.00,0.00,-1.42,0,0
"Issuance (Retirement) of Stock, Net",0.60,0.00,4.00,0,3.00
Cash from Financing Activities,-2.20,-2.23,0.85,7.24,-1.17
Foreign Exchange Effects,-0.01,-0.02,0.00,0.00,0.00
Net Change in Cash,0.61,0.49,9.14,-3.36,-2.13
