Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,18.66,19.21,44.76,84.43,73.25
Total Revenue,18.66,19.21,44.76,84.43,73.25
"Selling/General/Admin. Expenses, Total",0.71,0.59,1.42,3.45,3.90
Depreciation/Amortisation,0.02,0.03,0.04,0.12,0.26
Unusual Expense (Income),0,0,0,0.00,-0.27
"Other Operating Expenses, Total",0,0,0,-0.00,-0.01
Total Operating Expense,13.65,16.29,40.73,82.44,67.54
Operating Income,5.01,2.91,4.03,1.99,5.71
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.50,-0.30,0.02,-0.16,-0.49
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.51,2.62,4.05,1.83,5.22
Provision for Income Taxes,0.22,0.23,0.60,0.82,0.69
Net Income After Taxes,4.28,2.39,3.45,1.01,4.52
Net Income Before Extra. Items,2.10,1.20,2.24,0.76,3.08
Net Income,2.10,1.20,2.24,0.76,3.08
Income Available to Com Excl ExtraOrd,2.10,1.20,2.24,0.76,3.08
Income Available to Com Incl ExtraOrd,2.10,1.20,2.24,0.76,3.08
Diluted Net Income,2.10,1.20,2.24,0.76,3.08
Diluted Weighted Average Shares,75.00,75.00,75.00,75.00,88.81
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.03,0.01,0.03
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.03,0.02,0.03,0.01,0.03
