Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,5.43,1.26,1.10,4.88,1.70
Cash and Short Term Investments,86.79,14.28,14.13,10.43,4.65
"Accounts Receivable - Trade, Net",22.05,28.60,21.42,40.35,38.74
"Total Receivables, Net",35.12,54.50,47.07,59.04,53.55
Prepaid Expenses,0,0,38.76,24.89,28.12
"Other Current Assets, Total",70.00,70.00,12.00,12.00,12.00
Total Current Assets,200.49,152.14,152.11,129.53,121.12
"Property/Plant/Equipment, Total - Gross",0,0,372.01,285.07,301.40
"Accumulated Depreciation, Total",0,0,-9.00,-12.19,-14.38
"Property/Plant/Equipment, Total - Net",552.99,510.11,363.02,272.88,287.02
"Goodwill, Net",1.09,1.09,1.09,1.09,1.09
"Intangibles, Net",110.01,103.64,125.76,98.95,90.79
Long Term Investments,134.35,267.59,277.87,277.04,259.00
Total Assets,998.93,1034.56,919.83,785.76,762.40
Accounts Payable,0,0,0.72,2.16,4.48
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,22.00,3.68
"Other Current liabilities, Total",7.98,3.46,23.50,26.71,35.19
Total Current Liabilities,17.23,20.61,24.22,50.87,73.44
Total Long Term Debt,0.00,28.88,0.00,0.00,27.81
Total Debt,0.00,28.88,0.00,22.00,61.57
Deferred Income Tax,164.32,152.41,112.66,88.97,83.42
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,181.27,214.84,149.29,153.00,197.24
"Common Stock, Total",33.94,33.94,40.73,40.73,40.73
Retained Earnings (Accumulated Deficit),783.71,785.78,-551.67,-673.99,-726.34
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,55.14,39.68,27.63
Total Equity,817.65,819.72,770.54,632.77,565.16
Total Liabilities & Shareholders' Equity,998.93,1034.56,919.83,785.76,762.40
Total Common Shares Outstanding,1697.14,1697.14,2036.54,2036.54,2036.54
"Tangible Book Value per Share, Common Eq",0.42,0.42,0.32,0.26,0.23
