Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,508.49,503.96,618.23,532.26,583.98
Short Term Investments,14.96,27.03,158.52,188.74,111.69
Cash and Short Term Investments,959.18,948.90,1079.28,1035.92,1007.12
"Accounts Receivable - Trade, Net",92.99,116.68,108.31,96.10,45.70
"Total Receivables, Net",259.87,317.28,257.90,315.76,267.19
Prepaid Expenses,112.01,93.36,82.68,87.64,89.15
"Other Current Assets, Total",16.71,1.74,3.47,2.16,0.00
Total Current Assets,1408.14,1445.51,1612.95,1565.99,1480.58
"Property/Plant/Equipment, Total - Gross",9171.70,9904.58,9440.60,10536.56,10928.50
"Accumulated Depreciation, Total",-3169.01,-3622.99,-3902.76,-4126.08,-4554.78
"Property/Plant/Equipment, Total - Net",6002.69,6281.59,5537.84,6410.47,6373.73
"Goodwill, Net",82.88,83.85,88.44,88.35,89.17
"Intangibles, Net",7.49,6.10,11.62,20.01,26.23
Long Term Investments,4973.10,5332.25,5405.03,5585.61,5970.11
Total Assets,12993.78,13675.17,13170.65,13722.07,14008.16
Accounts Payable,118.74,119.98,104.04,94.43,81.75
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",826.51,999.26,917.55,822.72,777.16
Total Current Liabilities,1753.87,1354.08,1452.80,1344.09,1541.25
Total Long Term Debt,4486.87,4949.84,4703.62,5500.32,5750.66
Total Debt,5295.49,5184.68,5134.84,5927.25,6432.99
Deferred Income Tax,310.14,329.26,331.08,357.97,329.92
"Other Liabilities, Total",30.47,0.00,6.26,15.67,71.58
Total Liabilities,7002.96,7072.62,6881.70,7532.49,7946.57
"Common Stock, Total",3191.80,3198.42,3202.00,3202.00,3202.00
Retained Earnings (Accumulated Deficit),3203.79,3297.14,3408.07,3349.37,2887.46
Treasury Stock - Common,0,0,-5.00,-5.99,-4.27
Unrealised Gain (Loss),5.21,6.84,0.00,20.58,20.82
"Other Equity, Total",-409.97,100.15,-316.70,-378.02,-45.76
Total Equity,5990.83,6602.56,6288.95,6189.58,6061.59
Total Liabilities & Shareholders' Equity,12993.78,13675.17,13170.65,13722.07,14008.16
Total Common Shares Outstanding,3580.02,3584.06,3585.53,3585.53,3585.53
"Tangible Book Value per Share, Common Eq",1.65,1.82,1.73,1.70,1.66
