Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,149.56,250.17,290.40,281.66,-537.06
Depreciation/Depletion,309.46,312.85,336.27,336.98,319.16
Non-Cash Items,45.56,-43.66,22.23,-34.02,132.35
Cash Taxes Paid,80.30,101.69,89.17,72.73,51.30
Changes in Working Capital,-137.89,-61.57,-218.94,-357.23,-280.48
Cash from Operating Activities,382.56,473.66,446.32,230.42,-362.55
Capital Expenditures,-481.13,-374.64,-161.36,-243.86,-121.55
"Other Investing Cash Flow Items, Total",-61.07,170.73,33.06,22.60,98.20
Cash from Investing Activities,-542.19,-203.91,-128.29,-221.26,-23.36
Total Cash Dividends Paid,-46.06,-64.49,-87.61,-101.39,0.00
"Issuance (Retirement) of Stock, Net",0.00,6.31,-5.64,-2.13,0.00
Cash from Financing Activities,70.68,-267.71,-118.92,-72.55,366.22
Foreign Exchange Effects,-26.90,17.66,-25.98,2.47,34.65
Net Change in Cash,-115.85,19.70,173.13,-60.91,14.96
