Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,0.93,5.46,0.57,1.69
Depreciation/Depletion,0.22,0.24,0.31,0.29
Non-Cash Items,0.01,-0.40,-0.06,0.16
Cash Taxes Paid,0.18,0.26,0.52,0.60
Changes in Working Capital,0.94,-1.35,0.02,-1.83
Cash from Operating Activities,2.09,3.96,0.84,0.30
Capital Expenditures,-0.69,-0.15,-0.07,-0.08
"Other Investing Cash Flow Items, Total",-1.71,0.00,0.70,-0.62
Cash from Investing Activities,-2.40,-0.15,0.63,-0.71
Total Cash Dividends Paid,-0.87,0.00,-3.24,-0.25
"Issuance (Retirement) of Stock, Net",0,0,0,7.53
Cash from Financing Activities,1.26,-1.19,-2.20,9.52
Foreign Exchange Effects,-0.05,-0.18,0.04,-0.05
Net Change in Cash,0.90,2.43,-0.69,9.06
