Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Cash,17.71,13.54,13.88,48.77
Short Term Investments,6.84,11.93,21.15,6.13
Cash and Short Term Investments,24.55,25.48,35.02,54.90
"Accounts Receivable - Trade, Net",4.23,4.15,4.89,5.54
"Total Receivables, Net",5.55,6.51,5.68,6.13
Prepaid Expenses,0.22,0.31,0.34,0.58
"Other Current Assets, Total",0.00,0.00,0.10,0.12
Total Current Assets,30.32,32.30,41.15,61.73
"Property/Plant/Equipment, Total - Gross",21.18,21.61,26.80,28.60
"Accumulated Depreciation, Total",-18.44,-19.95,-21.10,-23.31
"Property/Plant/Equipment, Total - Net",2.74,1.66,5.70,5.29
"Goodwill, Net",7.72,7.72,7.72,7.72
"Intangibles, Net",1.83,1.70,2.91,3.56
Long Term Investments,4.38,4.57,4.91,5.97
Total Assets,46.98,47.94,62.39,84.27
Accounts Payable,3.32,2.87,1.59,2.26
Accrued Expenses,2.26,2.50,2.63,2.82
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.64
"Other Current liabilities, Total",12.18,12.09,24.75,15.82
Total Current Liabilities,17.76,17.46,31.18,23.97
Total Long Term Debt,0.00,0.00,2.14,1.34
Total Debt,0.00,0.00,4.35,4.41
Deferred Income Tax,0.29,0.05,0.12,0.38
"Other Liabilities, Total",0,0,0,0
Total Liabilities,32.61,32.30,46.65,40.65
"Common Stock, Total",6.94,6.94,0.00,35.05
Retained Earnings (Accumulated Deficit),7.36,8.69,15.80,8.66
Treasury Stock - Common,0,0,0,0
Unrealised Gain (Loss),0,0,0,0
"Other Equity, Total",0.07,0.01,-0.06,-0.10
Total Equity,14.37,15.64,15.74,43.62
Total Liabilities & Shareholders' Equity,46.98,47.94,62.39,84.27
Total Common Shares Outstanding,201.39,201.39,201.39,230.39
"Tangible Book Value per Share, Common Eq",0.02,0.03,0.03,0.14
