Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,35.68,37.39,40.62,43.38
Total Revenue,35.68,37.39,40.62,43.38
"Selling/General/Admin. Expenses, Total",9.37,10.11,9.64,11.38
Depreciation/Amortisation,3.01,2.48,4.28,4.07
Unusual Expense (Income),0,0,0,-1.15
"Other Operating Expenses, Total",11.86,11.95,8.87,9.09
Total Operating Expense,24.17,24.43,22.46,23.29
Operating Income,11.51,12.95,18.16,20.09
"Interest Inc.(Exp.),Net-Non-Op., Total",1.18,1.15,0.87,0.66
"Other, Net",0,0,0,0
Net Income Before Taxes,12.70,14.10,19.03,20.75
Provision for Income Taxes,1.37,2.14,3.16,3.12
Net Income After Taxes,11.32,11.97,15.87,17.63
Net Income Before Extra. Items,5.19,5.46,7.02,6.84
Net Income,5.19,5.46,7.02,6.84
Income Available to Com Excl ExtraOrd,5.19,5.46,7.02,6.84
Income Available to Com Incl ExtraOrd,5.19,5.46,7.02,6.84
Diluted Net Income,5.19,5.46,7.02,6.84
Diluted Weighted Average Shares,201.39,201.39,201.39,203.53
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.03,0.03
DPS - Common Stock Primary Issue,0,0,0,0
Diluted Normalised EPS,0.03,0.03,0.03,0.03
