Fiscal Year,2017,2018,2019,2020,2020.1
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,9 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",1.82,2.37,1.10,0.84,0.55
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.61,0,0,0,0
"Other Operating Expenses, Total",-0.39,-0.01,-0.01,0.00,0
Total Operating Expense,5.78,3.38,1.89,1.66,1.28
Operating Income,-5.78,-3.38,-1.89,-1.66,-1.28
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.78,-3.38,-1.89,-1.66,-1.28
Provision for Income Taxes,0,0.00,0.00,0.00,0.00
Net Income After Taxes,-5.78,-3.38,-1.89,-1.66,-1.28
Net Income Before Extra. Items,-5.78,-3.38,-1.89,-1.66,-1.28
Net Income,-15.86,-8.12,-2.60,-1.66,-1.28
Income Available to Com Excl ExtraOrd,-5.78,-3.38,-1.89,-1.66,-1.28
Income Available to Com Incl ExtraOrd,-15.86,-8.12,-2.60,-1.66,-1.28
Diluted Net Income,-15.86,-8.12,-2.60,-1.66,-1.28
Diluted Weighted Average Shares,26.36,35.88,35.96,35.96,35.96
Diluted EPS Excluding ExtraOrd Items,-0.22,-0.09,-0.05,-0.05,-0.04
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,-0.20,-0.09,-0.05,-0.05,-0.04
