Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS
Cash,13.78,17.36,111.93
Short Term Investments,0,0,0.22
Cash and Short Term Investments,13.78,17.36,112.15
"Accounts Receivable - Trade, Net",0.17,49.12,80.67
"Total Receivables, Net",2.03,52.58,86.63
Prepaid Expenses,0.35,1.59,4.39
"Other Current Assets, Total",0.03,9.66,2.13
Total Current Assets,38.27,104.49,219.69
"Property/Plant/Equipment, Total - Gross",1.70,6.85,10.02
"Accumulated Depreciation, Total",-0.25,-0.56,-1.28
"Property/Plant/Equipment, Total - Net",1.45,6.29,8.74
"Goodwill, Net",1.11,1.11,1.11
"Intangibles, Net",0.23,0.33,2.06
Long Term Investments,0.10,0.51,0.00
Total Assets,41.53,112.93,232.75
Accounts Payable,0.00,10.48,13.02
Accrued Expenses,4.42,2.07,3.67
Notes Payable/Short Term Debt,5.87,4.83,7.13
"Other Current liabilities, Total",13.02,59.37,23.01
Total Current Liabilities,33.39,94.28,67.05
Total Long Term Debt,0.31,1.23,3.22
Total Debt,6.60,7.30,11.82
Deferred Income Tax,0.00,0.00,3.85
"Other Liabilities, Total",0,0,0
Total Liabilities,33.70,95.51,74.12
"Common Stock, Total",0.64,0.64,0.01
Retained Earnings (Accumulated Deficit),-1.47,10.96,39.66
Treasury Stock - Common,0,0,0
Unrealised Gain (Loss),0,0,0
"Other Equity, Total",0.15,0.10,1.07
Total Equity,7.83,17.42,158.63
Total Liabilities & Shareholders' Equity,41.53,112.93,232.75
Total Common Shares Outstanding,1073.79,1073.79,1073.79
"Tangible Book Value per Share, Common Eq",0.01,0.01,0.14
