Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,-0.57,15.40,46.08
Depreciation/Depletion,0.33,1.31,2.36
Non-Cash Items,1.07,2.59,4.26
Cash Taxes Paid,0.06,0.10,4.04
Changes in Working Capital,-8.45,-60.70,-47.93
Cash from Operating Activities,-7.62,-11.04,14.27
Capital Expenditures,-0.33,-3.11,-3.01
"Other Investing Cash Flow Items, Total",4.01,-0.37,4.74
Cash from Investing Activities,3.68,-3.48,1.74
Total Cash Dividends Paid,0,0,-5.00
"Issuance (Retirement) of Stock, Net",0.63,0.00,104.69
Cash from Financing Activities,17.72,18.11,78.57
Foreign Exchange Effects,0.00,-0.01,0.00
Net Change in Cash,13.78,3.58,94.58
