Fiscal Year,2018,2019,2020
Period Ended,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS
Revenue,19.91,24.54,23.68
Total Revenue,19.91,24.54,23.68
"Selling/General/Admin. Expenses, Total",3.05,2.58,3.23
Depreciation/Amortisation,0.06,0.07,0.27
Unusual Expense (Income),0.01,0.06,0.21
"Other Operating Expenses, Total",-0.76,-0.49,-1.80
Total Operating Expense,19.18,22.79,23.01
Operating Income,0.73,1.75,0.67
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.16,-0.15,-0.13
"Other, Net",-0.00,0.00,0.00
Net Income Before Taxes,0.57,1.60,0.55
Provision for Income Taxes,0.10,0.35,0.12
Net Income After Taxes,0.47,1.25,0.42
Net Income Before Extra. Items,0.47,1.25,0.42
Net Income,0.47,1.25,0.42
Income Available to Com Excl ExtraOrd,0.47,1.25,0.42
Income Available to Com Incl ExtraOrd,0.47,1.25,0.42
Diluted Net Income,0.47,1.25,0.42
Diluted Weighted Average Shares,106.00,106.00,106.00
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.00
DPS - Common Stock Primary Issue,0,0,0
Diluted Normalised EPS,0.00,0.01,0.01
