Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,263.29,275.03,264.87,285.69,192.80
Total Revenue,263.29,275.03,264.87,285.69,192.80
"Selling/General/Admin. Expenses, Total",18.61,18.38,18.29,18.88,17.10
Depreciation/Amortisation,0.73,0.74,0.88,5.11,4.24
Unusual Expense (Income),0.06,0.02,0.05,0.08,15.66
"Other Operating Expenses, Total",4.77,2.92,4.52,5.91,0.49
Total Operating Expense,259.68,270.11,261.84,283.12,206.24
Operating Income,3.61,4.92,3.03,2.57,-13.44
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.43,-1.53,-1.09
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.61,4.92,2.60,1.04,-14.53
Provision for Income Taxes,0.12,0.26,0.01,-0.00,-0.15
Net Income After Taxes,3.49,4.66,2.58,1.04,-14.38
Net Income Before Extra. Items,3.38,4.54,2.63,1.03,-14.42
Net Income,2.94,4.10,2.54,1.03,-14.31
Income Available to Com Excl ExtraOrd,3.38,4.54,2.63,1.03,-14.42
Income Available to Com Incl ExtraOrd,2.94,4.10,2.54,1.03,-14.31
Diluted Net Income,2.94,4.10,2.54,1.03,-14.31
Diluted Weighted Average Shares,130.50,130.50,255.70,664.45,892.57
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.01,0.00,-0.02
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.00,0
Diluted Normalised EPS,0.03,0.03,0.01,0.00,-0.00
