Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,42.939,0.174,,,Real Estate,44
8Telecom,AZG,ETEL.SI,8.096,0.802,,,Technology Equipment,57
A-Smart,BQC,ASMA.SI,28.322,5.268,,,Industrial & Commercial Services,61
A-Sonic Aero,BTJ,ASON.SI,35.965,357.372,4.18,0.61,Transportation,57
ABR,533,ABRH.SI,90.448,85.975,15.01,4.44,Food & Beverages,56
Abterra,L5I,ABTR.SI,13.118,5.49,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,71.775,558.831,,,Industrial & Commercial Services,65
Accordia Golf Tr,ADQU,ACCO.SI,19.152,629.503,0.94,124.53,Cyclical Consumer Services,61.3
Accrelist Ltd,QZG,ACCR.SI,18.703,151.265,,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,5.745,38.733,,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,7.976,9.523,320,,Industrial & Commercial Services,68
Acma,AYV,ACMA.SI,2.162,62.687,,,Industrial Goods,67
Acromec,43F,ACRO.SI,12.471,23.516,,,Industrial & Commercial Services,61
Addvalue Tech,A31,AVAU.SI,40.479,3.622,,,Technology Equipment,56
Advanced,BLZ,ADVA.SI,10.559,59.137,3.69,,Energy - Fossil Fuels,64
Advanced Systems,5TY,ADSA.SI,22.324,0,,,Technology Equipment,68
Advancer Global,43Q,ADVN.SI,38.612,56.391,8.5,9.02,Industrial & Commercial Services,80
Adventus,5EF,ADVE.SI,13.654,0,,,Industrial Goods,58
Aedge Group,XVG,AEDE.SI,25.44,,,,Industrial & Commercial Services,
AEI,AWG,AEIC.SI,103.593,9.867,,,Mineral Resources,39
AEM,AWX,AEM.SI,1170.258,437.511,16.15,1.6,Technology Equipment,89
AF Global,L38,AFGL.SI,98.174,10.689,,,Cyclical Consumer Services,66
AGV,1A4,AGVG.SI,15.968,9.442,,,Mineral Resources,55
AIMS APAC Reit,O5RU,AIMA.SI,1096.525,127.206,20.35,,Real Estate,86.3
AIMS Property,BVP,APW.AX,59.322,-4.111,,1.52,Real Estate,
Alita Resources,40F,ALIT.SI,118.238,72.481,,,Mineral Resources,48
Alliance HC,MIJ,ALLA.SI,34.302,45.089,21.32,2.06,Healthcare Services,51
Allied Tech,A13,ALLT.SI,19.318,115.163,,,Industrial Goods,71
AlphaDX,VVL,ALPH.SI,70.861,0,,,Software & IT Services,
Alset,40V,ALSE.SI,196.848,,,,Real Estate,75
Amara,A34,AMRA.SI,213.466,61.053,,,Cyclical Consumer Services,71
Amcorp Global,S9B,AMCO.SI,44.688,20.17,,,Real Estate,83
AMOS Group,49B,AMOS.SI,33.392,108.52,,,Industrial Goods,
Amplefield Ltd,AOF,AMPL.SI,24.317,2.265,65.85,,Real Estate,77
AMTD IB OV,HKB,,,,,,,
AnAn Intl,Y35,ANAN.SI,126.996,1634.672,38.72,,Energy - Fossil Fuels,32
Anchun Intl,BTX,ANIH.SI,11.11,19.684,,,Industrial Goods,50
AnnAik,A52,AAIK.SI,20.489,49.391,111.29,1.45,Mineral Resources,53
Annica,5AL,ANHL.SI,16.675,10.906,,,Energy - Fossil Fuels,51
